title,description_x,release_year,runtime,imdb_id,imdb_score,imdb_votes,show_id,type,director,cast,country,date_added,age_certification,num_releases,listed_in,description_y,num_listed_in,first_cast,cast_freq_mean,genre_freq_mean
Singapore,When his employee disappears in Singapore Shyam travel from India to investigate absence and becomes entangle in deadly plot,1960,158,tt0268639,6.4,82,s5221,Movie,Shakti Samanta,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia","October 15, 2017",TV-PG,1,"Comedies, Dramas, International Movies","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",3,Shammi Kapoor,3.625,2092.0
Dark Waters,Ragab poor sailor return home to Alexandria after three year of absence during he try to save money to marry his one true love Hamedah But 's trouble on harbor and with old friend,1956,120,tt0049761,6.7,590,s2370,Movie,Youssef Chahine,"Faten Hamama, Omar Sharif, Ahmed Ramzy, Hussein Riad, Ferdoos Mohammed, Aziza Helmy, Tawfik El Deken",Egypt,"June 18, 2020",TV-14,1,"Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",3,Faten Hamama,1.8571428571428568,1603.3333333333333
Amrapali,After failed conquest Emperor Ajaatshatru pretend to be soldier in enemy 's army to weaken them from inside However he fall in love with Amrapali by fake his identity,1966,120,tt0060104,6.7,225,s5392,Movie,Lekh Tandon,"Vyjayantimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, Zul Vellani, K.N. Singh, Randhir",India,"July 1, 2017",TV-PG,1,"Dramas, International Movies, Music & Musicals","In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves.",3,Vyjayantimala,1.625,1667.0
The Blazing Sun,rich landlord flood and destroy village on purpose to prevent people live there from make profit off their crop What he do n't know be that his own daughter be in love with Ahmed young man from village,1954,100,tt0044429,7.4,1219,s2376,Movie,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",Egypt,"June 18, 2020",TV-14,1,"Classic Movies, Dramas, International Movies",Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,3,Omar Sharif,1.7,1603.3333333333333
Monty Python's Fliegender Zirkus,Monty Python 's Fliegender Zirkus consist of two 45-minute Monty Python German television comedy special produce by WDR for West German television two episode be first broadcast in January and December 1972 and be shoot entirely on film and mostly on location in Bavaria with first episode record in German and second record in English and then dub into German,1972,43,tt0202477,8.1,2144,s4551,TV Show,Unknown,"Graham Chapman, John Cleese, Eric Idle, Terry Jones, Michael Palin, Connie Booth","United Kingdom, West Germany","October 2, 2018",TV-MA,1,"International TV Shows, TV Comedies","The Pythons elevate the absurd to new heights and bring their sketches to German TV, working in phonetic German, at times with an Australian accent.",2,Graham Chapman,13.333333333333334,764.5
Prince,To good himself spoiled prince temporarily assume commoner 's identity But he soon learn his palace have be gift to his father 's new wife,1969,152,tt0064842,6.9,168,s5462,Movie,Lekh Tandon,"Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan",India,"June 1, 2017",TV-PG,1,"Dramas, International Movies, Romantic Movies","To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife.",3,Shammi Kapoor,2.7,1761.6666666666667
Manoranjan,Havaldar Ratan be rookie at local police station and be assign duty on foot patrol on Manoranjan Street notorious red-light area on very first day of his job He strike up conversation with good-looking young woman name Nisha and tell her that be possible violation of Suppression of Immoral Trafficking Act take place on street He witness several woman solicit men and decide to call in paddy wagon and get them arrest Alas one of men frequent prostitute be none other than Ratan 's superior officer who immediately summons Ratan and have him remove from service on corruption charge Nisha take pity on homeless and unemployed Ratan and ask him to live with her He do not want her to sell her body and so he decide to work at night and during day he take on guise of rich Nawab and spends time with her,1974,162,tt0071811,6.5,236,s5304,Movie,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,"September 1, 2017",TV-14,1,"Comedies, International Movies, Music & Musicals","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",3,Sanjeev Kumar,3.5,1421.6666666666667
Whispers,At station between site fill with poetry and nostalgia for bygone era poet 's dashed dream and idealized vision of her country coincide with director 's own,1980,93,tt0170803,7.8,75,s1832,Movie,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani","Lebanon, Canada, France","October 19, 2020",TV-14,1,"Documentaries, International Movies","With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse.",2,Nadia Tueni,1.5,1401.0
Lal Patthar,Raja Kumar Bahadur alias Gyan Shankar Rai have be total abstainer his life never touch drop of alcohol and keep away from woman and know vice his life Then one day he see young woman name Saudamani and instantly fall in love with her He find out about her background and virtually buy her and bring her to his palatial home be when he take to drinking and woo her and rename her Madhuri but refrain from marry her Years late he see beautiful woman about his age name Sumita meet with her parent pay off their debt and marry her in bargain,1971,153,tt0237395,6.2,137,s5397,Movie,Sushil Majumdar,"Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen, Paintal, Dulari, Chandramohan, Sujata Bakshi, Meena T.",India,"July 1, 2017",TV-14,1,"Classic Movies, Dramas, International Movies","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.",3,Raaj Kumar,2.7,1603.3333333333333
Ujala,honest man dream of good life for his family but childhood friend lead him into world of crime keep happiness just out of reach,1959,142,tt0157132,6.7,78,s543,Movie,Naresh Saigal,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,"July 6, 2021",TV-14,1,"Dramas, International Movies","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",2,Mala Sinha,2.5,2351.0
Professor,Sita devi be very strict aunt for number of young lady and do not allow them to fraternize with male Along come Pritam disguise a elderly Professor Khanna to break possible rule of aunt,1962,163,tt0056379,6.8,285,s5401,Movie,Lekh Tandon,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",India,"July 1, 2017",TV-PG,1,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,3,Shammi Kapoor,2.0,2092.0
Chadi Jawani Budhe Nu,small-time businessman B.S Sood reach naughty forty Now his wife be not good enough anymore so he decide he need modern up to date mistress result in hilarious situation,1976,135,tt3290368,4.6,14,s5296,Movie,Unknown,Anand,India,"September 1, 2017",TV-PG,1,"Comedies, International Movies, Romantic Movies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.",3,Anand,1.0,1516.3333333333333
Bandie,Maharaj Brajbhan live wealthy lifestyle in Bharatpur India along with his wife Badi Rani but have be unable to conceive for Bharatpur and have choice but to leave it 's reigns with Brajban 's widowed cousin Vikram and his son Kanchan When Vikram find out that Badi Rani be pregnant he plot to first sully her character by have her abducted then shun by Maharaj and then decides to have her kill But her killer have change of heart and let her live She give birth to son names him Bhola and start live simple lifestyle in Mandir with help of it 's Poojary Years late Vikram find out she be alive and kill her as well Poojary and Poojary 's son Bhola witness manage to escape start to live with poor widow grow up uneducated and make living through crime,1978,141,tt1219315,4.2,35,s5187,Movie,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,"November 1, 2017",TV-PG,1,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.",3,Uttam Kumar,3.4444444444444446,1837.6666666666667
Khoon Khoon,As crazed killer blaze trail of blood through anxious city hardened cop aim to take him down by mean in remake of Dirty Harry,1973,131,tt0230412,5.1,41,s5301,Movie,Mohammed Hussain,"Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep",India,"September 1, 2017",TV-14,1,"Action & Adventure, International Movies","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”",2,Danny Denzongpa,5.166666666666667,1601.5
Once Upon a Time in America,former Prohibition-era Jewish gangster return to Lower East Side of Manhattan over thirty year late where he once again must confront ghost and regret of his old life,1984,229,tt0087843,8.3,342335,s167,Movie,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States","September 1, 2021",R,1,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,2,Robert De Niro,4.2,1209.0
Sam Kinison: Breaking the Rules,be great performance Through yelling and energetic story-telling he talk about marriage drug be arrest thanks to his ex-wife please woman religion and much much more,1987,50,tt0307403,7.2,651,s4238,Movie,Walter C. Miller,Sam Kinison,United States,"December 31, 2018",TV-MA,1,Stand-Up Comedy,"The one-time preacher shakes and shudders as he tears into subjects including sex, marriage, religion, drugs and famine in this HBO special.",1,Sam Kinison,4.0,310.0
Tim Allen: Men Are Pigs,Comedian Tim Allen share his enthusiasm for power tool automobile grunting and myriad obsession of American male in special for Showtime premium cable network be air few year before he rise to stardom with television sitcom Home Improvement,1990,30,tt0259057,6.0,353,s4245,Movie,Ellen Brown,Tim Allen,United States,"December 31, 2018",TV-MA,1,Stand-Up Comedy,"Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal.",1,Tim Allen,5.0,310.0
Unspeakable Acts,Two psychologist try to demonstrate that man be pedophile and have abuse many child,1990,100,tt0100848,6.0,448,s5952,Movie,Linda Otto,"Jill Clayburgh, Brad Davis, Sam Behrens",United States,"October 1, 2011",TV-14,1,Dramas,Laurie and Joseph are doctors who interview sexually abused children. With a lot of energy they track down a pedophile who has abused many toddlers.,1,Jill Clayburgh,1.3333333333333333,2310.0
Agneepath,movie depict life of young boy Vijay Amitabh Bachchan whose father get brutally lynch by mobster Kancha Cheena It 's journey of his quest for revenge lead him to become gangster a adult Watch out for Amitabh Bachchan in one of most powerful role of his career Will Vijay lose his family in process of satisfy his vengeance,1990,174,tt0098999,7.6,8902,s2716,Movie,Mukul Anand,"Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",India,"April 1, 2020",TV-14,1,"Dramas, International Movies","A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",2,Amitabh Bachchan,9.8,2351.0
Parrot Sketch Not Included: Twenty Years of Monty Python,Steve Martin present select sketch from Monty Python 's Flying Circus 1969 It 's well know sketch though parrot sketch be not include Steve Martin have funny comment on Pythons,1989,72,tt0213984,8.1,1522,s4555,Movie,Ian MacNaughton,"Steve Martin, John Cleese, Graham Chapman, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Connie Booth",United Kingdom,"October 2, 2018",TV-14,1,Comedies,"Presented by Steve Martin, this anthology draws from “Flying Circus” and “Fliegender Zirkus” to mark the 20th anniversary of the TV series.",1,Steve Martin,11.11111111111111,1574.0
Adam: His Song Continues,Follows true story of John and Reve Walsh who after their child be murder fight to raise national awareness of problem of miss child,1986,100,tt0090589,7.0,209,s5944,Movie,Robert Markowitz,"Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina",United States,"October 1, 2011",TV-MA,1,Dramas,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",1,Daniel J. Travanti,2.2,2310.0
Disco Dancer,Anil street singer be humiliate and drive out of Bombay along with his mother However he soon become famous performer but enemy from his past try to destroy his hard-earned career,1982,134,tt0208903,6.5,1449,s1863,Movie,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,"October 12, 2020",TV-14,1,"Cult Movies, Dramas, International Movies","A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.",3,Mithun Chakraborty,6.0,1590.3333333333333
The Ryan White Story,story of Ryan White 13-year-old haemophiliac who contract AIDS from factor VIII be use to control disorder,1989,102,tt0098237,7.2,857,s5949,Movie,John Herzfeld,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",United States,"October 1, 2011",TV-PG,1,Dramas,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school.",1,Judith Light,2.75,2310.0
In Defense of a Married Man,When defense lawyer 's adulterous husband become prime suspect in murder of woman he be cheat with his wife choose to defend him Can she overcome his betrayal while search for truth,1990,94,tt0099833,5.6,200,s5946,Movie,Joel Oliansky,"Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki",United States,"October 1, 2011",TV-14,1,Dramas,"A lawyer's husband is having an affair. When his mistress is found dead, he becomes the prime suspect – and his wife must take charge of his defense.",1,Judith Light,2.0,2310.0
Dil,Raja live poor lifestyle along with his dad Hazariprasad and mom He attend college where he have several run-in with wealthy fellow-collegian Madhu Mehra Matters escalate to extent that she accuse him of sexually molest her When his dad come to know he decide to seize chance to get rich quickly masquerade a wealthy businessman approach Mr. Mehra and arranges for their child to get married Murphy 's law prevail at time of engagement change everyone 's life forever,1990,172,tt0099429,6.6,5273,s1862,Movie,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,"October 12, 2020",TV-14,1,"Comedies, Dramas, International Movies",A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.,3,Aamir Khan,9.555555555555555,2092.0
Quiet Victory: The Charlie Wedemeyer Story,Film tell story of Los Gatos California high school football coach Charlie Wedemeyer At 31 onetime football pro Wedemeyer be live American dream winning team happy marriage and public adulation,1988,100,tt0095945,7.1,144,s5947,Movie,Roy Campanella II,"Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler",United States,"October 1, 2011",TV-PG,1,"Dramas, Sports Movies","When high school football coach Charlie Wedemeyer is diagnosed with Lou Gehrig's disease, he perseveres in leading his team despite becoming disabled.",2,Pam Dawber,1.6666666666666667,1233.5
Strange Voices,family begin to fall apart when their eldest daughter be diagnose with schizophrenia,1987,100,tt0094052,6.3,357,s5948,Movie,Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",United States,"October 1, 2011",TV-PG,1,Dramas,"When their college-age daughter suddenly begins acting erratically and is diagnosed with schizophrenia, a desperate couple seeks treatment for her.",1,Nancy McKeon,1.2,2310.0
Aakhri Adaalat,Inspector Amar Kaushal attempt to incarcerate wrong-doers in his society only lead to frustration when they be let off by incompetence of law and his superior and senior Eventually Amar stand accuse of kill several criminal and innocent prompt him to take law into his own hand,1988,148,tt0177505,5.1,92,s5291,Movie,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar",India,"September 1, 2017",TV-14,1,"Action & Adventure, International Movies",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,2,Vinod Khanna,6.75,1601.5
A Stoning in Fulham County,Religious belief clash with law when Amish infant be kill in rural community,1988,120,tt0096179,5.8,380,s5943,Movie,Larry Elikann,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",United States,"October 1, 2011",TV-14,1,Dramas,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",1,Ken Olin,3.1666666666666665,2310.0
Sohni Mahiwal,Shahjada Ijjat Beg come to India with his caravan and settle in town in Gujrat Here he fall in love with Sohani who keep shop in metal pot Ijjat Beg buy pot from her with money he have and they be attract to other Sohni dispense with her servant and keep Ijjat Beg instead give them more opportunity to meet be scandal in town and Sohni be perforce marry to Rehaman who be slightly off his head Sohni continue her meeting Ijjat Beg who go out fishing When atmosphere become to hot for them they jointly take water grave for their love,1984,160,tt0807047,6.1,297,s5310,Movie,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union","September 1, 2017",TV-14,1,"Dramas, International Movies, Romantic Movies","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her.",3,Zeenat Aman,5.75,1761.6666666666667
The Little Wars,Beirut resident Soraya be draw to two men daredevil photographer Nabil and Talal who must embrace his feudal heritage when his father be kidnap,1982,108,tt0084492,6.3,149,s1827,Movie,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay","France, Lebanon","October 19, 2020",TV-14,1,"Dramas, Independent Movies, International Movies","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",3,Soraya Khoury,1.0,1814.6666666666667
Duniya,Mohan Kumar 's diligence and honesty land him in trouble with Balwant Singh Kalra Jugal Kishore Ahuja and Mr. Bhandari Together trio frame and imprison Mohan and make him watch helplessly a his wife be kill Years late Mohan Kumar be release from prison his only goal in life be to avenge his humiliation and wrongful arrest at hand of trio With help of Dinesh Verma he establish himself again and start process of bring death and destruction to trio trio be well aware of his presence and decide to send one of their men Ravi to spy on him Ravi fall in love with Verma 's daughter Roma and decides to change side to help Verma and Mohan but Mohan will not have anything to do with Ravi and ask him to leave Ravi then become target by trio and their men and have to save himself and only way he can redeem himself be by turn table over Mohan who be none other than his own father.Duniya,1984,170,tt0301231,6.2,241,s2722,Movie,Ramesh Talwar,"Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",India,"April 1, 2020",TV-14,1,"Action & Adventure, Dramas, International Movies","A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against.",3,Dilip Kumar,6.1,1837.6666666666667
Pyar Ke Do Pal,In order to assist her close friend Rajni Thakur Geeta Choudhary have abortion in her name so that Rajni can get marry When her secret get leak out Geeta 's husband Ashok blame her accuse her of be unfaithful and drive her out of his house They have twin Sunil and Anil and parent be allow custody of one child child meet other at Scout camp and decide to re-unite their parent without realize that they be expose not only them but also other to danger and death,1986,153,tt0358053,6.1,65,s5081,Movie,Rajiv Mehra,"Mithun Chakraborty, Jayapradha, Simple Kapadia, Krishan Dhawan, Jagdeep, Bindu, Satyendra Kapoor, Shubha Khote, Amrit Pal, Lalita Pawar",India,"January 15, 2018",TV-14,1,"Dramas, International Movies, Music & Musicals","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before.",3,Mithun Chakraborty,4.5,1667.0
Jaal,Shankar 's father leave family for Meenabai He late learn that his father be dead He set out to find out Meenabai who he think be behind his father 's death,1986,159,tt0239495,5.2,122,s5131,Movie,Umesh Mehra,"Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",India,"December 8, 2017",TV-14,1,"Action & Adventure, International Movies","When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation.",2,Jeetendra,5.25,1601.5
Mujrim,film follow story of Shankar who be regard a criminal by society after be in jail for ten year since childhood,1989,162,tt0097926,5.4,188,s5305,Movie,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena",India,"September 1, 2017",TV-14,1,"Action & Adventure, Dramas, International Movies","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",3,Mithun Chakraborty,9.3,1837.6666666666667
